sampling_rate,delta,starttime,endtime,npts,network,station,location,channel,mseed,_format,dep,olon,olat,otime,slon,slat,selv,back_azimuth,azimuth,repi,rhyp,p_time,s_time,wstart,wend,lower-f-bound,upper-f-bound,pass_snr,llpsp,llpsp-stderr,fc,fc-stderr,ts,ts-stderr,a,a-stderr,aic,bic,chisqr,redchi,pass_fitting
100.0,0.01,2019-08-26T07:30:49.780000Z,2019-08-26T07:30:50.840000Z,107,LV,L001,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,-2.9292795997382197,53.82040142078019,23.0,211.540682847,31.510243123,4.75303649758,5.20562051511,2019-08-26T07:30:48.729390Z,2019-08-26T07:30:49.784790Z,2019-08-26T07:30:49.784790Z,2019-08-26T07:30:50.840190Z,1.85766969933,44.3850073566,True,-4.63218995165,0.244956560023,8.48042648808,3.06803779646,0.0944488591942,0.10257056302,0.298510840455,0.227740666113,-91.2246984576,-85.8958804169,0.809341179873,0.0337225491614,True
100.0,0.01,2019-08-26T07:30:51.610000Z,2019-08-26T07:30:53.470000Z,187,LV,L002,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,-2.837621899060794,53.8348038686189,17.0,236.489431202,56.3850156458,10.2279782799,10.4447703993,2019-08-26T07:30:49.758130Z,2019-08-26T07:30:51.613070Z,2019-08-26T07:30:51.613070Z,2019-08-26T07:30:53.468010Z,1.05096220365,37.7186287983,True,-5.25342653322,0.0865922050819,8.46795885413,2.11389749391,0.0515063615243,0.020456610901,0.0141856267134,0.0935413890692,-104.748518213,-98.7624879676,1.08316336056,0.0373504607091,True
100.0,0.01,2019-08-26T07:30:52.750000Z,2019-08-26T07:30:55.380000Z,264,LV,L006,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,-2.8803696714002265,53.691222529762875,7.0,331.066164218,150.996312707,11.8028685739,11.9894601869,2019-08-26T07:30:50.118250Z,2019-08-26T07:30:52.749640Z,2019-08-26T07:30:52.749640Z,2019-08-26T07:30:55.381030Z,0.758972949729,37.7186287983,True,-4.72495690362,0.127718553076,5.97402515157,1.69644602121,0.112435842408,0.0483912034553,0.0936267392594,0.103631796964,-103.656936481,-97.2132648305,1.80970323381,0.0548394919338,True
100.0,0.01,2019-08-26T07:30:53.960000Z,2019-08-26T07:30:56.410000Z,246,LV,L007,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,-2.727394193116982,53.74107330673488,28.0,286.919781,106.726521082,16.5081182263,16.6447094109,2019-08-26T07:30:51.091660Z,2019-08-26T07:30:53.963650Z,2019-08-26T07:30:53.963650Z,2019-08-26T07:30:56.410000Z,0.82331589045,15.4103923691,True,-5.54539989594,0.0490436979244,6.45837555368,2.04946288157,0.0614643580937,0.0135944539619,0.000102932746541,0.00355864745923,-98.5529234263,-93.6774201268,0.352310950165,0.0167767119126,True
100.0,0.01,2019-08-26T07:30:55.720000Z,2019-08-26T07:30:57.430000Z,172,LV,L008,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,-3.0432888011210237,53.60229425885455,17.0,13.9614699006,194.022947881,20.8421281652,20.9493674237,2019-08-26T07:30:51.848220Z,2019-08-26T07:30:55.724340Z,2019-08-26T07:30:55.724340Z,2019-08-26T07:30:57.430000Z,3.56196868537,19.6713559293,True,-5.83307144622,0.123993054264,22.3341680974,19.6404632216,0.0691330248211,0.0167163820974,0.00100210743329,0.0175780656759,-61.649471971,-57.6665428768,0.614626000766,0.0384141250479,True
100.0,0.01,2019-08-26T07:30:50.610000Z,2019-08-26T07:30:52.510000Z,191,LV,L009,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,-3.036969393335407,53.776126658725424,10.0,79.2144722917,259.270920435,4.69495446696,5.14730001524,2019-08-26T07:30:48.709670Z,2019-08-26T07:30:50.609210Z,2019-08-26T07:30:50.609210Z,2019-08-26T07:30:52.508750Z,1.05096220365,44.3850073566,True,-5.10039117036,0.104414821389,3.22951268141,0.582913094416,0.0249682733817,0.00228998916791,2.49066691237e-05,3.11585589806e-05,-123.690075368,-117.468683122,0.812836318092,0.0262205263901,True
100.0,0.01,2019-08-26T07:30:55.990000Z,2019-08-26T07:30:57.800000Z,182,UR,AQ01,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 4, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 2048})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,-2.793122391617827,53.606574367755925,24.0,329.887306732,149.747182111,22.8444397621,22.9429685099,2019-08-26T07:30:52.229430Z,2019-08-26T07:30:55.987870Z,2019-08-26T07:30:55.987870Z,2019-08-26T07:30:57.800000Z,1.14005892151,29.5484902768,True,-5.55537277869,0.0579612757241,24.7203745586,,0.100914080858,0.00335666695724,0.0121058366588,0.0300134734722,-93.4291089088,-87.9599255888,0.877867463367,0.0351146985347,True
200.0,0.005,2019-08-26T07:30:50.245000Z,2019-08-26T07:30:51.455000Z,243,UR,AQ03,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 10, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 5120})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,-2.8866277812041634,53.75959367161754,23.0,297.17247647,117.107642647,5.95492597354,6.32204653181,2019-08-26T07:30:49.039290Z,2019-08-26T07:30:50.246440Z,2019-08-26T07:30:50.246440Z,2019-08-26T07:30:51.453590Z,1.7124909985,78.4544705649,True,-4.64601014317,0.280052616607,6.03426557711,3.52959810778,0.140573915027,0.139242210843,0.40109664498,0.178029816136,-71.4728823607,-65.1388066069,3.9587917809,0.123712243153,True
200.0,0.005,2019-08-26T07:30:48.675000Z,2019-08-26T07:30:49.240000Z,114,UR,AQ04,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 9, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 4608})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,-2.9678370021713434,53.77599670909336,15.0,3.54413410774,183.544809363,0.892480683684,2.29559290179,2019-08-26T07:30:48.111050Z,2019-08-26T07:30:48.675880Z,2019-08-26T07:30:48.675880Z,2019-08-26T07:30:49.240710Z,3.56196868537,92.32048895,True,-5.32982068124,0.137244570972,16.1645806942,5.56515689564,0.0158755447456,,0.0350866671949,,-59.9101754949,-54.440992175,2.7886724006,0.111546896024,True
200.0,0.005,2019-08-26T07:30:49.310000Z,2019-08-26T07:30:50.140000Z,167,UR,AQ05,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 11, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 5632})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,-2.9666353952069833,53.81380115015182,11.0,180.415132872,0.414838654831,3.31699231302,3.93176283677,2019-08-26T07:30:48.479510Z,2019-08-26T07:30:49.310430Z,2019-08-26T07:30:49.310430Z,2019-08-26T07:30:50.141350Z,2.37131417418,92.32048895,True,-4.71474682788,0.304783509001,41.81742499,22.71736584,0.0827278576376,0.0601429314434,0.199490199824,0.150310003261,-63.1831551465,-57.077713048,4.19015746521,0.139671915507,True
